ID_country|ISO_country|NAME_country|NAME_PRINT_country|ISO3_country|CODE_country|NAME_ESP_country|id_city|region_id|name_place|short_name_place|slug_place|group_id_place|province_id_place|group_slug_place|latitude|longitude|country_host_id_place|
1|AF|AFGHANISTAN|Afganistán|AFG|4|Afganistán|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
2|AL|ALBANIA|Albania|ALB|8|Albania|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
3|DZ|ALGERIA|Algeria|DZA|12|Argelia|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
4|AS|AMERICAN SAMOA|American Samoa|ASM|16|Samoa Americana|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
5|AD|ANDORRA|Andorra|AND|20|Andorra|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
39|TD|CHAD|Chad|TCD|148|Chad|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
110|LV|LATVIA|Latvia|LVA|428|Letonia|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
124|ML|MALI|Mali|MLI|466|Mali|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
6|AO|ANGOLA|Angola|AGO|24|Angola|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
7|AI|ANGUILLA|Anguilla|AIA|660|Anguila|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
8|AG|ANTIGUA AND BARBUDA|Antigua and Barbuda|ATG|28|Antigua y Barbuda|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
10|AM|ARMENIA|Armenia|ARM|51|Armenia|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
11|AW|ARUBA|Aruba|ABW|533|Aruba|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
12|AU|AUSTRALIA|Australia|AUS|36|Australia|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
13|AT|AUSTRIA|Austria|AUT|40|Austria|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
14|AZ|AZERBAIJAN|Azerbaijan|AZE|31|Azerbaiyán|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
15|BS|BAHAMAS|Bahamas|BHS|44|Bahamas|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
16|BH|BAHRAIN|Bahrain|BHR|48|Bahrein|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
17|BD|BANGLADESH|Bangladesh|BGD|50|Bangladesh|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
18|BB|BARBADOS|Barbados|BRB|52|Barbados|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
19|BY|BELARUS|Belarus|BLR|112|Bielorrusia|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
20|BE|BELGIUM|Belgium|BEL|56|Bélgica|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
22|BJ|BENIN|Benin|BEN|204|Benin|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
23|BM|BERMUDA|Bermuda|BMU|60|Islas Bermudas|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
24|BT|BHUTAN|Bhutan|BTN|64|Bután|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
26|BA|BOSNIA AND HERZEGOVINA|Bosnia and Herzegovina|BIH|70|Bosnia y Herzegovina|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
27|BW|BOTSWANA|Botswana|BWA|72|Botsuana|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
28|BR|BRAZIL|Brazil|BRA|76|Brasil|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
29|BN|BRUNEI DARUSSALAM|Brunei Darussalam|BRN|96|Brunei Darussalam|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
30|BG|BULGARIA|Bulgaria|BGR|100|Bulgaria|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
31|BF|BURKINA FASO|Burkina Faso|BFA|854|Burkina Faso|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
32|BI|BURUNDI|Burundi|BDI|108|Burundi|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
33|KH|CAMBODIA|Cambodia|KHM|116|Camboya|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
34|CM|CAMEROON|Cameroon|CMR|120|Camerún|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|NULL|
